mp_id_core,formula_core,band_gap_eV_core,cbm_vs_vacuum_eV_core,vbm_vs_vacuum_eV_core,mp_id_shell,formula_shell,band_gap_eV_shell,cbm_vs_vacuum_eV_shell,vbm_vs_vacuum_eV_shell,dEc_eV,dEv_eV,is_type1_shell_confines_core,confinement_score_eV
mp-980659,Tl3BiCl6,2.8585000000000003,-1.0436234448286217,-3.902123444828622,mp-569348,TlGaBr4,3.5506,-0.6910804671459321,-4.241680467145932,0.3525429776826896,0.33955702231731033,True,0.6920999999999999
mp-1113067,Cs2ScInCl6,2.804305520872291,-0.6762684171670632,-3.4805739380393543,mp-1112628,Cs2YInCl6,3.496012824389749,-0.307958275418287,-3.803971099808036,0.3683101417487762,0.3233971617686815,True,0.6917073035174577
mp-569814,TiBr4,2.7939,-1.2004420864096574,-3.994342086409657,mp-1215761,YbTi2O5F,3.4849,-0.8339432749357418,-4.318843274935741,0.3664988114739156,0.3245011885260842,True,0.6909999999999998
mp-35906,Y(AgCl2)3,2.8066,-1.0747805861228266,-3.8813805861228263,mp-1113614,Cs2AlAgF6,3.4974000000000003,-0.6986358948566094,-4.196035894856609,0.3761446912662172,0.3146553087337831,True,0.6908000000000003
mp-757198,Li2VOF5,2.8337000000000003,-1.1803931984847482,-4.0140931984847485,mp-774361,Li2Mn3F8,3.5244,-0.8184652785053363,-4.342865278505336,0.36192791997941187,0.32877208002058733,True,0.6906999999999992
mp-1113226,Cs2AgMoF6,2.7943,-1.1231739562662668,-3.9174739562662673,mp-1209465,Rb2Mo(OF2)2,3.4841,-0.7922554575097234,-4.276355457509723,0.33091849875654344,0.35888150124345586,True,0.6897999999999993
mp-568722,CdBr2,2.8528,-1.0291948218762612,-3.881994821876261,mp-1226730,CdH6(NCl)2,3.5424,-0.661790284683073,-4.204190284683072,0.3674045371931882,0.32219546280681133,True,0.6895999999999995
mp-676130,TlSnF3,2.8207,-1.4755684881690676,-4.296268488169067,mp-29798,TlBrO3,3.5098000000000003,-1.1165179481316718,-4.626317948131672,0.3590505400373958,0.3300494599626047,True,0.6891000000000005
mp-568722,CdBr2,2.8528,-1.0291948218762612,-3.881994821876261,mp-24356,CdH4NCl3,3.5397,-0.7289044719653472,-4.268604471965347,0.30029034991091397,0.38660965008908565,True,0.6868999999999996
mp-754494,BaLaBr5,2.9074,-0.7106135487025691,-3.618013548702569,mp-696944,LaHBr2,3.5935,-0.3491016628804513,-3.942601662880452,0.3615118858221178,0.324588114177883,True,0.6861000000000008
mp-998613,KGeCl3,2.893020835482666,-0.7575029868908998,-3.650523822373566,mp-28680,KGaBr4,3.5771,-0.41324329698708,-3.990343296987081,0.3442596899038198,0.339819474613515,True,0.6840791645173347
mp-676130,TlSnF3,2.8207,-1.4755684881690676,-4.296268488169067,mp-30146,CaSn2F6,3.4998000000000005,-1.166639359197505,-4.666439359197506,0.30892912897156255,0.3701708710284386,True,0.6791000000000011
mp-1112624,Cs2LiGdCl6,2.7824,-0.5424523710965212,-3.324852371096521,mp-1112376,Cs3AsBr6,3.4614,-0.2008626695021591,-3.662262669502159,0.3415897015943621,0.3374102984056382,True,0.6790000000000003
mp-541899,CsCdBr3,2.901,-0.5812851687452516,-3.482285168745252,mp-1112000,Cs2ScTlCl6,3.579203867091389,-0.2693350758309689,-3.8485389429223584,0.3119500929142827,0.36625377417710636,True,0.678203867091389
mp-778506,Li2VF5,2.8520000000000003,-1.0815920801728995,-3.9335920801729,mp-753329,Li3Ni3OF7,3.5293,-0.7276966609056001,-4.2569966609056,0.3538954192672994,0.32340458073269973,True,0.6772999999999991
mp-1219634,RbCrO3F,2.897,-1.0094896888074163,-3.906489688807417,mp-1209567,Rb2SbF5,3.5733999999999995,-0.681325347674572,-4.2547253476745714,0.3281643411328443,0.34823565886715446,True,0.6763999999999988
