mp_id,formula,band_gap_eV,is_direct_gap,cbm_vs_vacuum_eV,vbm_vs_vacuum_eV,offset_estimation_method,dielectric_electronic,dielectric_ionic,dielectric_total,refractive_index,energy_above_hull_eV_per_atom,is_stable
mp-1207686,TmTiClO3,3.067362050098776,False,-0.9722292912640951,-4.039591341362871,electronegativity_approx,,,,,0.06602893166666135,False
mp-1207940,TmWClO4,3.5140000000000002,False,-1.0298020679158442,-4.543802067915845,electronegativity_approx,,,,,0.12842965065477152,False
mp-1208155,TlIn4S5Cl,1.5301999999999998,False,-1.4359737949122362,-2.966173794912236,electronegativity_approx,,,,,0.0,True
mp-1208308,Te2Cl,0.6530999999999998,True,-2.079891031665592,-2.732991031665592,electronegativity_approx,,,,,0.009242769756945712,False
mp-1208319,TbTiClO3,3.1560617853681885,False,-0.8750543286027161,-4.031116113970905,electronegativity_approx,,,,,0.07268183500000802,False
mp-1208666,SrICl,3.7669,True,-0.115325917630688,-3.882225917630688,electronegativity_approx,,,,,0.15325511041666395,False
mp-1208669,Ta3Te4ClO15,3.0397,True,-1.3028291006286792,-4.3425291006286795,electronegativity_approx,,,,,0.015101726725539777,False
mp-1208676,SrBrCl,4.734,False,0.2957423140800741,-4.438257685919925,electronegativity_approx,,,,,0.21549619058333302,False
mp-1209287,RbSbClF3,4.429799999999999,True,-0.4203227758100492,-4.850122775810048,electronegativity_approx,,,,,0.09347292598213564,False
mp-1210046,PrSCl,2.6929000000000003,False,-0.7498901104942501,-3.4427901104942507,electronegativity_approx,,,,,0.026150565138888027,False
mp-1210546,MoSCl,0.8894110618892794,False,-2.156972281572574,-3.0463833434618532,electronegativity_approx,,,,,0.022261901666665196,False
mp-1210668,Mn5P3ClO12,3.0688,True,-1.122354298078381,-4.191154298078381,electronegativity_approx,,,,,0.032695933333330984,False
mp-1210698,LuTiClO3,3.0696138326056266,False,-0.9777417087224203,-4.047355541328047,electronegativity_approx,,,,,0.05650053291666701,False
mp-1210988,Mg2ClO3,2.0435,False,-1.4366402996545986,-3.4801402996545985,electronegativity_approx,,,,,0.41398410140624975,False
mp-1212080,HoTiClO3,3.1230188590447954,False,-0.9376734691708117,-4.060692328215607,electronegativity_approx,,,,,0.05766427305556299,False
mp-1212237,Hg3S2BrCl,1.639,False,-1.6089532191643516,-3.247953219164352,electronegativity_approx,,,,,0.0794731587499995,False
mp-1212514,HC3ClO2,1.1598,False,-2.224470001810133,-3.384270001810133,electronegativity_approx,,,,,0.3308422949999992,False
mp-1212518,GdTiClO3,2.989596895581559,True,-0.9941203601389206,-3.9837172557204794,electronegativity_approx,,,,,0.061553649722212,False
mp-1212662,GaClO,2.681178674520069,True,-1.3590642076777613,-4.0402428821978305,electronegativity_approx,,,,1.6541270023792005,0.18244031194444332,False
mp-1212725,EuICl,1.2549000000000001,False,-1.5331945264522804,-2.7880945264522805,electronegativity_approx,,,,,0.16623371708332968,False
mp-1212726,Ga3Te3Cl,1.5963000000000003,False,-1.2907205515455749,-2.887020551545575,electronegativity_approx,,,,,0.14861364453703496,False
mp-1212756,EuBrCl,1.3196000000000003,False,-1.5791961488329243,-2.8987961488329246,electronegativity_approx,,,,,0.19925305416666372,False
mp-1212930,ErTiClO3,3.1421628647324606,False,-0.9314764780531242,-4.073639342785585,electronegativity_approx,,,,,0.05545582430555562,False
mp-1213106,CuTeSCl,1.2200000000000002,False,-1.778195749584252,-2.9981957495842524,electronegativity_approx,,,,,0.04395121036458516,False
mp-1213116,CuTeSeCl,1.0564,False,-1.8530228408671992,-2.909422840867199,electronegativity_approx,,,,,0.13185003434895837,False
mp-1213381,H5CN6Cl,3.7622,False,-0.7751903922910945,-4.537390392291094,electronegativity_approx,,,,,0.30661202128204845,False
mp-1213763,ClF5,3.086830365223376,False,-2.2864522409935493,-5.373282606216925,electronegativity_approx,,,,,0.0,True
mp-1213787,Cl(OF)2,0.5462000000000002,False,-3.3121052390255965,-3.858305239025597,electronegativity_approx,,,,,0.10683477900000105,False
mp-1213825,ClO5,0.5363,True,-3.1235170785066346,-3.6598170785066344,electronegativity_approx,,,,,0.39085593375000016,False
mp-1213842,Cr3Pb5ClO12,0.5892999999999997,False,-2.519253213019611,-3.1085532130196105,electronegativity_approx,,,,,0.08260517910713805,False
mp-1213844,CeSCl,0.7976999999999999,True,-1.6912878845715658,-2.4889878845715656,electronegativity_approx,,,,,0.007827375972219386,False
mp-1213922,ClO,1.6924000000000001,True,-2.45082896559918,-4.14322896559918,electronegativity_approx,,,,,0.21628096156250054,False
mp-1214295,CCl,2.1107,False,-1.783311656485323,-3.894011656485323,electronegativity_approx,,,,,0.18704969843749986,False
mp-1214624,Ba2Mn2ClF7,4.033684390218874,False,-0.5824753190144487,-4.616159709233322,electronegativity_approx,,,,,0.053338687916668626,False
mp-1214675,Ba5Cr3ClO12,1.0844000000000003,True,-1.6954567173823332,-2.7798567173823336,electronegativity_approx,,,,,0.02207462190477827,False
